start	end	text
0	6120	I'm obsessed with this idea of generative UI. Generative UI is different from
6120	14600	regular UI because it's more of a system and it can be totally unique each time.
15260	25680	What I would really love is a mobile app and the mobile app will be able to hook
25680	39680	up to a GrokBot or an OpenClaw or an Ermes agent and you can talk to it but it also is an app.
39680	42860	The default state is you're just talking to it.
42860	56860	Although, yeah, the default state is you can just talk to it and it's a vessel for communication.
56860	65860	And then also it can just take over the screen at any time and generate UI for you.
65860	74240	So for example, like I can have a bunch of different agents that I have hooked up and
75240	78340	this one app is approved on the App Store.
78740	80620	You can hook your agent up to it.
82800	89920	There will probably be a skill of some type to tell the agent how to generate the UI.
91180	92220	And it just does it.
92220	100220	Each agent can have their own color scheme and unique features.
101100	103300	Again, within a general framework.
106600	114300	And the real example I'm thinking of is if I am doing a workout, I'm talking to Arnold.
114520	116720	Arnold happens to be my agent.
116720	122720	And he's got a picture of Arnold Schwarzenegger on there and more or less he talks like that.
122720	130180	And I want him to be able to kind of show on the screen any workout feature I ask.
130180	139380	So, you know, hey Arnold, I want to do a countdown timer.
139380	143320	Or I just want him to list my workout.
147540	151900	You know, maybe he could manage like any number of screens.
152000	153460	Let's call it three screens.
154020	156800	And like they all start as kind of blank templates.
157480	159880	The first screen is probably just chat.
159880	163180	The chat could probably link to another view.
164280	166080	But then like, yeah, all right.
166180	167780	So here's your countdown timer.
167960	168680	And like, all right.
168840	173600	And I can just tell Arnold, all right, I want intervals of this and this and that.
173660	178120	And it can just, you know, it can actually navigate for you to just pull it up.
178120	185800	And again, within a set of guidelines, I'd want it to be able to just generate UI.
186060	187420	And I think this is really important.
187560	188840	I want it to be a mobile app.
192180	199660	And this would kind of be like your agent hub where you could hook in agents from anywhere.
199660	207920	I would want it to kind of have the ability to replace.
208120	212380	Like I use, I don't use open claw, but I use ear me's agent.
212680	215040	H-E-R-M-E-S.
215200	218900	But in general, like I'm just, maybe I'll just call it a lobster.
219460	220800	You know, I have my lobster.
221900	228420	And he, you know, he like, you know, he's wired up to my Mac mini.
229660	234420	And I can, I can talk to him via telegram.
234540	236340	And I can still talk to him via telegram.
236460	241700	As a matter of fact, like, if I'm talking to Arnold on my telegram, I want to be able to say,
242060	246300	all right, you know, pull this up on, let's just call it Nexus for now.
246440	248220	Like, Project Nexus.
254680	256640	And with the Project Nexus,
256640	262900	is where I, you know, talk to him.
263100	265880	And then I can like, again, talk to him on telegram.
266920	270880	And he should be able to push live updates to that app.
270880	276200	But I guess you should be able to,
277340	280440	and again, maybe this is, maybe this is different.
280540	282740	Maybe this is a different app altogether.
282740	288620	But I definitely think like this, like open agent framework, like open claw.
288620	296960	And I should be able to, you know, I do want to be able to wire it into my existing open claw setting right now,
297000	298600	or my, my lobster setting.
298740	303020	But I'm actually thinking, okay, well, I definitely need out of the box,
303100	306380	people that don't have anything set up, to be able to just set up this agent.
306380	315540	You know, I think for onboarding Scream, it's like, hey, welcome to your, welcome to the, you know, the Nexus,
316040	318660	this generative UI app.
318660	328220	And it should probably start with like a bit of an interview, you know, where they can just like,
328420	330720	again, it, it generates text.
330720	335880	So it's like, you know, it, it, it can probably generate however it decides to say,
336000	337040	hey, welcome to Nexus.
337540	338540	What's your name?
338560	340780	And it would generate a type form.
341040	345640	And then like, maybe what's your level of knowledge in AI?
345640	350560	And you can just have a little slider back and forth of like, okay, I'm here.
350860	357280	And then maybe it, maybe it's like, okay, tell me about some of the things you want to do.
359080	367320	And maybe then it comes up with like a type form or, but also like a, a little button.
367700	368600	You know what I mean?
368600	371580	Like a little microphone button so I can just talk to it.
371600	374700	And again, hopefully on device, but I don't really care.
375640	377240	Sends the audio through.
378320	381780	And then you're just talking to it via that.
382940	385380	And again, we'd probably want a couple other things.
385380	389960	And again, like, all right, well, here's a couple suggestions of what you should do.
390040	393860	You should definitely start a workout agent, you know, and, and the workout,
393860	398200	you know, and, and maybe you even have some to start with.
398280	402600	You have like your personal trainer, your nutritionist.
402600	417160	A good example is a nutritionist is, you know, you, you have, you know, you, you have your nutritionist and it would be very easy to build a little, like, take a picture.
417160	419680	And do whatever you want.
421080	423980	And, and I'll, I'll track your macros and your calories.
424420	425460	I think that's a great idea.
425460	436360	And then like, maybe a personal agent, but like, you know, we should really be telling them, you know, anything they want.
436460	443360	I think there should kind of be like an internal database, like, and you can create as many tables as you want.
443360	446160	Um, I don't know if that's in the cloud.
446360	453800	I think it would be, um, anything that we can, I'm always open to ideas of how we can keep things on device.
453960	459080	But again, like, uh, obviously we should have a table, like a spreadsheet.
459680	467680	And, and really, I just kind of want to base it on HTML, like whatever, like, you know, HTML is a good example because you could have like HTML,
467680	473860	you've gotten like, which is the overall structure and then the CSS and then JavaScript to kind of do some things to work.
474180	476500	And then like, you have these different frameworks.
476500	486240	So like material UI or, um, or, uh, shad CN, which is S H A D C N.
488240	496980	Uh, you know, shad CN would be a really good example of like a kind of a toolkit, except this is going to be, um,
496980	499120	um, I'm not sure.
499220	506000	I guess I would want to make it react native, but I'm also pretty curious whether, um,
506740	508780	it would be cool to do anything in Swift.
508920	517380	So again, in this overall, um, plan that you're putting it together for me, I,
517380	526440	what are some of the native agent things that we can do on, um, on Swift?
526980	530940	Um, and like, what are the main advantages?
